candidate_1,candidate_2,similarity,party_1,party_2,same_party
Cecilie Fisker (M),Christina Sylvest-Noer (A),0.5310793030028997,M,A,False
Malou Ananiassen (C),Rikke Alice Bille (B),0.5310163463402543,C,B,False
Ebbe Wendt Lorenzen (A),Tim Tue Wodskou (Å),0.5308529321928595,A,Å,False
Preben Boldt (V),Rami Zouzou (C),0.5306703969548594,V,C,False
Isabel Havndrup Aackmann (B),Kristoffer Appel (A),0.5306562916503439,B,A,False
Mette Bram (Å),Susanne Nørlund Munk (A),0.5304062749937175,Å,A,False
Eva Bechmann (Æ),Isabel Havndrup Aackmann (B),0.5298631540702934,Æ,B,False
Isabel Havndrup Aackmann (B),Jacob Rosenberg (C),0.529805283713427,B,C,False
Klaus Eskelund (C),Mads Freund (M),0.5294713673998287,C,M,False
Julius Lundsteen (F),Rasmus Holme (Ø),0.5289398962097503,F,Ø,False
Lone Loklindt (B),Rosa Agersnap Bone (Ø),0.5288545939238919,B,Ø,False
Freja Fokdal (B),Malte Mathies Løcke (A),0.5288107788835557,B,A,False
Bianca Vitting (Ø),Merete Winther Hildebrandt (C),0.5285574390741133,Ø,C,False
Else Guldager (Ø),Tone Høybye (Ø),0.5283033569228728,Ø,Ø,True
Thomas Frank (A),Thomas Mølgaard Andersen (Å),0.5277532808698226,A,Å,False
Else Guldager (Ø),Michella Lescher (F),0.5277326832294583,Ø,F,False
Bianca Vitting (Ø),Michella Lescher (F),0.5277172088983343,Ø,F,False
Julius Lundsteen (F),Rasmus Edelberg (A),0.5276119254549781,F,A,False
Frederik Tuxen Bjerrum (I),Mette Bram (Å),0.5274532079697848,I,Å,False
Isabel Havndrup Aackmann (B),Lars Berg Andersen (I),0.5272030244437281,B,I,False
Asbjørn Dalgaard (A),Tim Tue Wodskou (Å),0.5271649743856197,A,Å,False
Julius Lundsteen (F),Thomas Frank (A),0.5269079174313221,F,A,False
Claus Wagenblast-Franck (C),Rasmus Holme (Ø),0.5266585005385916,C,Ø,False
August Gade (F),Malene Sandfeld (V),0.5264478942646844,F,V,False
Helle Sjelle (M),Rikke Alice Bille (B),0.5263419962863117,M,B,False
Elias Lederhaas (C),Kristoffer Appel (A),0.5261084874086112,C,A,False
Freja Fokdal (B),Jacob Rosenberg (C),0.5259464804299545,B,C,False
Christina Sylvest-Noer (A),Joachim Høyrup (V),0.5257392387865119,A,V,False
Kristoffer Appel (A),Palle Bisgaard (Ø),0.5256411735732471,A,Ø,False
Jacob Rosenberg (C),Joachim Høyrup (V),0.5254494038327033,C,V,False
Cecilie Fisker (M),Helle Sjelle (M),0.525331072166723,M,M,True
Christina Sylvest-Noer (A),Tone Høybye (Ø),0.5251001787601858,A,Ø,False
Casper Pedersen (V),Susanne Nørlund Munk (A),0.5250383076087834,V,A,False
Christina Sylvest-Noer (A),Kurt Pii (M),0.5249913799263527,A,M,False
Freja Fokdal (B),Tim Tue Wodskou (Å),0.5249218167440467,B,Å,False
Fasael Rehman (C),Joachim Høyrup (V),0.5243582131129887,C,V,False
Joachim Høyrup (V),Malene Sandfeld (V),0.5242720177863109,V,V,True
Else Guldager (Ø),Rosa Agersnap Bone (Ø),0.5241978572396133,Ø,Ø,True
Freja Fokdal (B),Merete Winther Hildebrandt (C),0.5238197489885327,B,C,False
Rie Jakobsen (C),Tone Høybye (Ø),0.5236875971725852,C,Ø,False
Frederik Tuxen Bjerrum (I),Lars Berg Andersen (I),0.5231145169235838,I,I,True
Cecilie Fisker (M),Freja Fokdal (B),0.5229687895024487,M,B,False
Ebbe Wendt Lorenzen (A),Freja Fokdal (B),0.5226668039433876,A,B,False
